2,บริษัท ยูนิ-เพรสซิเดนท์ (ประเทศไทย) จำกัด,502 หมุ่ 3 ถนนพระประโทน-บ้านแพ้ว ตำบลดอนยายหอม อำเภอเมือง จังหวัดนครปฐม 73000,0-3422-9468-73 #613
1,บริษัท ทีซี ฟาร์มาซูติคอล อุตสาหกรรม จำกัด,39 หมู่ 13 ถนนบางขนาก-บ้านสร้าง ตำบลบางแตน อำเภอบ้านสร้าง จังหวัดปราจีนบุรี 25150,0-2451-0100-3
3,บริษัท วันไทยอุตสาหกรรมการอาหาร จำกัด,เลขที่ 2/4 หมุ่ 14 นิคมอุตสาหกรรมบางชัน ถนนเสรีไทย แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510,0-2517-0944 ต่อ 170
4,บริษัท อำพลฟูดส์ โพสเซสซิ่ง จำกัด,57 หมู่ 3 ตำบลกระทุ่มล้ม อำเภอสามพราน จังหวัดนครปฐม 73220,0-2622-3838
5,บริษัท ฮาลคิว จำกัด,www.halkew.com,085-047-5480
6,บริษัท แปซิฟิดแปรรูปสัตว์น้ำ จำกัด,27/4 หมู่ 7 ถนนเก้าเส้ง-จะนะ ตำบลเขารูปช้าง อำเภอเมือง จังหวัดสงขลา 90000,074-303999
7,บริษัท โอสถสภา จำกัด,348 ถนนรามคำแหง หัวหมาก บางกะปิ กรุงเทพ 10240,
8,บริษัท แฟชั่นฟู้ด จำกัด,105/4 หมู่ 6 ถนนเพชรเกษม ตำบลคลองใหม่ อำเภอสามพราน จังหวัดนครปฐม 73110,034-321442
9,บริษัท พิบูลย์ชัยน้ำพริกเผาไทยแม่ประนอม จำกัด,68/10 หมู่ 12 ถนนบรมราชชนนี (ปิ่นเกล้า-นครชัยศรี) กม.15 แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพ 10170,02-4413595-8
10,บริษัท ทรัพย์อนันต์ เยนเนอรัลฟู้ด จำกัด,9/3 ซอยเสรีไทย 54 แยก 3 ถนนเสรีไทย แขวงคันนายาว เขตคันนายาว กรุงเทพ 10230,02-5177183
11,บริษัท ลัคกี้ ยูเนี่ยน ฟู้ด จำกัด,1/74-75 นิคมอุตสาหกรรมสมุทรสาคร หมู่ 2 ถนนพระราม 2 ตำบลท่าทราย อำเภอเมือง จังหวัดสมุทรสาคร 74000,034-490009-12
12,บริษัท เครือเจริญโภคภัณฑ์อาหาร จำกัด,82/12-14 หมู่ 4 ตำบลบางโทรัด อำเภอเมือง จังหวัดสมุทรสาคร 74000,02-8008000
31,บริษัท หนุ่มน้อย จำกัด,บางขุนนนท์,02 424 4709
